goal,type,group,title,name,description,notes,status,dep,version,wporg_status,wporg_last_updated
deprecate,custom,styles,Camalote - Custom fonts,camalote-custom-fonts,Just a bucket of custom fonts.,It enqueues font-faces declarations.,active,,1.0.0,,
deprecate,custom,styles,Camalote - Gutenberg Winden Integration,camalote-winden-gutenberg,Agrega clases a Gutenberg para mejorar la integración de Winden.,Add Tailwind prose classes to Gutenberg editor. Not working currently.,active,Winden,1.0.0,,
deprecate,custom,styles,Camalote - Winden Easy Posts Fix,camalote-winden-easy-posts,Fixes Easy Posts content not being parsed by Winden.,Fix a no-longer-needed issue with Winden not parsing the Tailwind classes in Oxygen Easy Posts,inactive,Winden,1.0.0,,
deprecate,custom,styles,Winden - Flowbite extension,winden-flowbite-extension,Flowbite extension for Winden,Enqueue Flowbite globally.,active,Winden,1.0.0,,
deprecate,third-party,optimization,Asset CleanUp: Page Speed Booster,wp-asset-clean-up,"Unload Chosen Scripts & Styles from Posts/Pages to reduce HTTP Requests, Combine/Minify CSS/JS files",Optimization plugin. Conditional offload of enqueue on certain pages. Not really used in a meaningful way.70:30 for deprecation.,active,,1.4,active,12/03/25
deprecate,third-party,optimization,Flying Images,nazy-load,The complete solution for image optimization,Image optimizer. Not used in a meaningful way. It’s used mostly for the lazy load functionality. 70:30 for deprecation.,active,,2.4.14,active,25/08/24
deprecate,third-party,optimization,Imsanity,imsanity,Imsanity stops insanely huge image uploads,"Restrain the uploaded image max size. Potential overlap with EWWW, same mantainer.",active,,2.8.6,active,26/11/24
deprecate,third-party,oxygen,Oxygen,oxygen,"If you can do it with WordPress, you can design it with Oxygen.",Page builder.,active,,4.9.1,,
deprecate,third-party,oxygen,Oxygen builder functions,Oxygen-builder-functions-main,"Execute PHP functions or code that normally goes to functions.php, sorted in modueles",A plugin that extends Oxygen funcionality.,active,Oxygen,1.0.0,,
deprecate,third-party,oxygen,Oxygen Gutenberg Integration,oxygen-gutenberg,Edit Oxygen-designed content directly in the Gutenberg Block Editor.,Oxygen Gutenberg Integration.,active,Oxygen,1.4.5,,
deprecate,third-party,oxygen,Winden,winden,Universal Tailwind CSS integration for WordPress Page Builders.,Oxygen Tailwind integration,active,Oxygen,2.6.8,,
deprecate,third-party,rss,Custom Simple Rss,custom-simple-rss,A plugin to create a Custom Simple RSS Feed according to chosen parameters,Settings for RSS feed. 70:30 for deprecation.,active,,2.1.3,active,05/04/21
deprecate,third-party,rss,Featured Images in RSS for Mailchimp & More,featured-images-for-rss-feeds,"Outputs images in your RSS feed to Mailchimp, Infusionsoft, Hubspot, and other services that use RSS feed data for content marketing.",This isn’t really used anymore. Potential grouping. 70:30 for deprecation.,active,,1.6.4,active,28/01/25
deprecate,third-party,util,Application Passwords,application-passwords,Creates unique passwords for applications to authenticate users without revealing their main passwords.,"Provides Application Passwords. This was a feature plugin, it is neither needed or used.",active,,0.1.3,active,07/05/21
deprecate,third-party,util,Duplicate Menu,duplicate-menu,Easily duplicate your WordPress Menus,Utility plugin.,active,,0.2.2,active,12/04/24
